Bank,Start_BIN_Value,End_BIN_Value,
TBI,415246,415246,
TBI,425569,425569,
TBI,471417,471417,
TBI,471418,471418,
TBI,484817,484817,
TBI,547084,547084,
National Bank of Iraq,414769,414769,
National Bank of Iraq,420793,420793,
National Bank of Iraq,511775,511775,
Bank of Baghdad,460075,460075,
Bank of Baghdad,444469,444469,
Bank of Baghdad,457715,457715,
Commercial Bank,557690,557690,
Ashur Bank,557691,557691,
Ashur Bank,559489,559489,
Ashur Bank,55948901,55948901,
Ashur Bank,55948902,55948902,
Ashur Bank,55948903,55948903,
Ashur Bank,55948904,55948904,
Ashur Bank,55948905,55948905,
IDB,513890,513890,
IDB,548644,548644,
IDB,521097,521097,
IDB,546808,546808,
IDB,545722,545722,
IDB,513788,513788,
IDB,410861,410861,
IDB,410851,410851,
IDB,400794,400794,
IDB,401809,401809,
IDB,457740,457740,
IDB,410890,410890,
IDB,401792,401792,
Gulf Bank,517452,517452,
Gulf Bank,524729,524729,
Gulf Bank,447345,447345,
Gulf Bank,409204,409204,
International Islamic Bank IIB,510167,510167,
Credit Bank,446977,446977,
IMEIB,537013,537013,
IMEIB,425508,425508,
Iraq Gate,528578,528578,
Iraq Gate,536495,536495,
Iraq Gate,543986,543986,
Iraq Gate,535922,535922,
Iraq Gate,526525,526525,
Iraq Gate,511593,511593,
Iraq Gate,434152,434152,
Iraqi Islamic Bank,525660,525660,
Iraqi Islamic Bank,530507,530507,
Iraqi Islamic Bank,434681,434681,
Al-Janoob Bank,516589,516589,
Al-Janoob Bank,519871,519871,
Al-Janoob Bank,409218,409218,
Al-Janoob Bank,41776300,41776300,
Al-Janoob Bank,40057600,40057600,
Al-Janoob Bank,40086800,40086800,
Al-Janoob Bank,520325,520325,
Al-Rasheed Bank,519360,519360,
Al-Rasheed Bank,444311,444311,
Mosul Bank,559857,559857,
Mosul Bank,518668,518668,
Byblos Bank,40108400000,40108400000,
Byblos Bank,512976,512976,
Byblos Bank,5242440000,5242440002,
Byblos Bank,5242442000,5242442004,
Byblos Bank,5242442050,5242442054,
Byblos Bank,5242444000,5242444002,
Byblos Bank,5242448000,5242448002,
Byblos Bank,5296134000,5296134000,
Byblos Bank,5492410000,5492410002,
Byblos Bank,5498760000,5498760002,
Byblos Bank,5505790000,5505790002,
Byblos Bank,5505793000,5505793002,
Cihan Bank,527160,527160,
Cihan Bank,516190,516190,
Cihan Bank,527088,527088,
Cihan Bank,527091,527091,
Cihan Bank,527134,527134,
Cihan Bank,527235,527235,
Cihan Bank,527040,527040,
Cihan Bank,527167,527167,
Cihan Bank,521777,521777,
Cihan Bank,534977,534977,
Iraq Noor Islamic Bank,4135400000,4135400000,
Iraq Noor Islamic Bank,4170200000,4170200000,
Iraq Noor Islamic Bank,404105,404105,
APS Company,516502,516502,
APS Company,424179,424179,
Bank MED,5296132000,5296132000,
Bank MED,5296132020,5296132020,
Bank MED,53374100000,53374100000,
Bank MED,54450600000,54450600000,
Bank MED,55057950000,55057950000,
Intercontinintal Bank,5296130000,5296130000,
Intercontinintal Bank,5296130040,5296130040,
Intercontinintal Bank,,,
Intercontinintal Bank,5296130060,5296130060,
Investment Bank,519009,519009,
Investment Bank,521612,521612,
Internaional Islamic Bank IIB (debit),518362,518362,
Internaional Islamic Bank IIB (debit),525580,525580,
Industial Bank,535039,535039,
Industial Bank,5350390010,5350390010,
Industial Bank,5350390020,5350390020,
Industial Bank,51873900,51873900,
Industial Bank,519445,519445,
Rajih Bank,522417,522417,
Rajih Bank,541570,541570,
Agricultural Bank,524273,524273,
World Bank,521647,521647,
Trans Iraq Bank,4213080000,4213080000,
Trans Iraq Bank,4213080001,4213080001,
Trans Iraq Bank,5210603000,5210603000,
Trans Iraq Bank,5210603010,5210603010,
Nahrain Bank,519404,519404,
Trusted Bank,516945,516945,
Trusted Bank,557699,557699,
Elaf,536675,536675,
Elaf,534412,534412,
Regional trade bank,534416,534416,
Rafidain Bank,515256,515256,
Rafidain Bank,521372,521372,
Rafidain Bank,522249,522249,
Rafidain Bank,526987,526987,
NBI gate prepaid,533410,533410,
NBI gate prepaid,452237,452237, 
NBI gate prepaid,452238,452238,
NBI gate prepaid,452239,452239,
NBI gate prepaid,462422,462422,
International network company,460025,460025,
International network company,460415,460415,
zain Iraq Islamic bank,557049,557049,
Al-Mashreq Al-Arabi bank ,547390,547390,
Al-Mashreq Al-Arabi bank ,532202,532202,
Al-Mashreq Al-Arabi bank ,,,
Al-Taif,4728210000,4728210000,
Al-Taif,4728210002,4728210002,
Al-Taif,4728215002,4728215002,
Al-Taif,4557670000,4557670000,
Al-Taif,4557670020,4557670020,
Al-Taif,472821,472821,
Al-Taif,455767,455767,
BBAC,5129761000,5129761002,
BBAC,5129764000,5129764004,
BBAC,521060,521060,
BBAC,52106000030,52106000030,
Ashur Bank prepaid,512962,512962,
Union bank,5210602010,5210602010,
Union bank,5210602020,5210602020,
Al-Mansour Bank,527711,527711,
Al-Mansour Bank,540995,540995,
Al-Mansour Bank,542943,542943,
Al-Mansour Bank,553004,553004,
Kurdistan Bank,409240,409240,
Kurdistan Bank,45797900,45797900,
Kurdistan Bank,42437000,42437000,
Kurdistan Bank,53691112,53691112,
Kurdistan Bank,53691161,53691161,
Kurdistan Bank,528671,528671,
Kurdistan Bank,463898,463898,
Kurdistan Bank,403143,403143,
Kurdistan Bank,432820,432820,
National Islamic bank,510751,510751,
National Islamic bank,513652,513652,
Al-Mustashar ,530321,530321,
Al-Mustashar ,559951,559951,
Asia Bank,532076,532076,
Asia perpaid,519487,519487,
IMEIB egate New Bin,516019,516019,
MEAB Bank,4350080001,4350080001,
MEAB Bank,4350080005,4350080005,
Al-Anssari,559189,559189,
Al-Anssari,45827200,45827200,
Ameen al-Iraq,529614,529614,
Ishtar Gate company,423147,423147,
Credit Bank New Bin,485368,485368,
Amwal,545759,545759,
Al-Qabidh,525787,525787,
Al-Qabidh,41955700,41955700,
Erbil,525349,525349,
Yana,555521,555521,
Al-Qurtas,401317,401317,
Al-Qurtas,47609900,47609900,
Iraq Awal,420647,420647,
Iraq Awal,417579,417579,
Iraq Awal,460009,460009,
Iraq Awal,430564,430564,
Iraq Awal,557773,557773,
Areeba,41018800,41018800,
Areeba,41018900,41018900,
Areeba,415190,415190,
Sumer,541743,541743,
Sumer,524558,524558,
Al-Arabia bank,430806, 430806,
Al-Arabia bank,431743,431743,
ALMAL BANK,522577,522577,
ALMAL BANK,525862,525862,
jordan bank,52905821,52905821,
AL-saqi,403208,403208,
AL-Qasah,534143,534143,
AL-Qasah,534143,534143,
RT ,52108773,52108773,
RT ,52108794,52108794,
RT ,52103027,52103027,
AL-NASIK,530263,530263,
Tabadul ,422245,422245,
Tabadul ,417763,417763,
QI COMPANY ,555696,555696,
